"","ID","X","CRUISE","TOW_NO","TOW_TYPE_ID","TOW_DATE","YEAR","STRATA_ID","MIDPOINT_LONG","MIDPOINT_LAT","GEAR_TYPE_ID","GEAR_TYPE","DEPTH_M","BOTTOM_TEMP"
"2055","BI2011.1",2055,"BI2011",1,1,"2011-06-20",2011,22,-66.21755,44.21996667,3,"Digby gear",-27.20780754,9
"2056","BI2011.10",2064,"BI2011",10,3,"2011-06-20",2011,22,-66.19281667,44.32735,3,"Digby gear",-35.0267868,8.8
"2057","BI2011.100",2154,"BI2011",100,1,"2011-06-27",2011,24,-66.32751667,43.83669167,3,"Digby gear",-54.27430344,9
"2058","BI2011.101",2155,"BI2011",101,1,"2011-06-27",2011,24,-66.343925,43.83435833,3,"Digby gear",-63.52831268,8.8
"2059","BI2011.102",2156,"BI2011",102,5,"2011-06-27",2011,24,-66.32811667,43.78325,3,"Digby gear",-50.41962051,8.8
"2060","BI2011.103",2157,"BI2011",103,1,"2011-06-27",2011,24,-66.33124167,43.68178333,3,"Digby gear",-58.14307022,8.5
"2061","BI2011.104",2158,"BI2011",104,1,"2011-06-27",2011,24,-66.39265833,43.69806667,3,"Digby gear",-83.43694305,8.3
"2062","BI2011.105",2159,"BI2011",105,5,"2011-06-27",2011,24,-66.4219,43.68241667,3,"Digby gear",-83.55776978,8.3
"2063","BI2011.106",2160,"BI2011",106,1,"2011-06-27",2011,24,-66.5786,43.695325,3,"Digby gear",-103.7403183,7.5
"2064","BI2011.107",2161,"BI2011",107,5,"2011-06-27",2011,24,-66.58045833,43.713825,3,"Digby gear",-95.24748993,7.5
"2065","BI2011.108",2162,"BI2011",108,1,"2011-06-27",2011,24,-66.52624167,43.74166667,3,"Digby gear",-103.6661911,7.9
"2066","BI2011.109",2163,"BI2011",109,1,"2011-06-27",2011,24,-66.55006667,43.75516667,3,"Digby gear",-91.36392212,7.6
"2067","BI2011.11",2065,"BI2011",11,1,"2011-06-20",2011,22,-66.23955,44.28260833,3,"Digby gear",-37.10686874,8.7
"2068","BI2011.110",2164,"BI2011",110,1,"2011-06-27",2011,24,-66.63375833,43.763425,3,"Digby gear",-97.12200165,7.5
"2069","BI2011.111",2165,"BI2011",111,1,"2011-06-27",2011,24,-66.6774,43.79131667,3,"Digby gear",-94.32380676,7.5
"2070","BI2011.112",2166,"BI2011",112,1,"2011-06-27",2011,24,-66.69206667,43.82149167,3,"Digby gear",-90.92970276,7.7
"2071","BI2011.113",2167,"BI2011",113,1,"2011-06-27",2011,24,-66.65125,43.83218333,3,"Digby gear",-86.15707397,7.6
"2072","BI2011.114",2168,"BI2011",114,1,"2011-06-28",2011,24,-66.626675,43.84205833,3,"Digby gear",-102.3707962,7.6
"2073","BI2011.115",2169,"BI2011",115,1,"2011-06-28",2011,24,-66.61505,43.84210833,3,"Digby gear",-71.70941162,7.7
